D_Name,D_SMILES,D_HOMO,D_LUMO,D_lamda_max,A_Name,A_HOMO,A_LUMO,A_lamda_max,VOC (V),JSC (mA/cm²),FF (%),PCE (%),Ratio,D_gap,A_gap,delta_HOMO,delta_LUMO
BTR-Cl,O=C(N(CCCCCC)C(S/1)=S)C1=C\C2=CC=C(S2)C3=C(CCCCCC)C=C(C4=C(CCCCCC)C=C(C5=CC6=C(C7=CC(Cl)=C(CC(CCCC)CC)S7)C8=C(C=C(C9=CC(CCCCCC)=C(C(S%10)=CC(CCCCCC)=C%10C%11=CC=C(S%11)/C=C%12SC(N(C\%12=O)CCCCCC)=S)S9)S8)C(C%13=CC(Cl)=C(CC(CCCC)CC)S%13)=C6S5)S4)S3,5.46,-3.7,580.0,Y6,5.65,-4.1,836.0,0.83,23.66,74.7,14.7,1.6,1.7599999999999998,1.5500000000000007,0.1900000000000004,0.39999999999999947
B1,O=C(N(CCCC)C(S/1)=S)C1=C\C2=CC=C(S2)C3=C(CCCCCC)C=C(C4=C(CCCCCC)C=C(C5=CC6=C(C7=CC=C(SCC(CCCC)CC)C=C7)C8=C(C=C(C9=CC(CCCCCC)=C(C(S%10)=CC(CCCCCC)=C%10C%11=CC=C(S%11)/C=C%12SC(N(C\%12=O)CCCC)=S)S9)S8)C(C%13=CC=C(SCC(CC)CCCC)C=C%13)=C6S5)S4)S3,5.1,-3.51,626.0,BO-4Cl,5.66,-4.09,822.0,0.83,25.27,73.0,15.3,1.0,1.5899999999999999,1.5700000000000003,0.5600000000000005,0.5800000000000001
B1,O=C(N(CCCC)C(S/1)=S)C1=C\C2=CC=C(S2)C3=C(CCCCCC)C=C(C4=C(CCCCCC)C=C(C5=CC6=C(C7=CC=C(SCC(CCCC)CC)C=C7)C8=C(C=C(C9=CC(CCCCCC)=C(C(S%10)=CC(CCCCCC)=C%10C%11=CC=C(S%11)/C=C%12SC(N(C\%12=O)CCCC)=S)S9)S8)C(C%13=CC=C(SCC(CC)CCCC)C=C%13)=C6S5)S4)S3,5.1,-3.51,626.0,BO-4Cl,5.66,-4.09,822.0,0.82,24.34,75.0,15.0,1.0,1.5899999999999999,1.5700000000000003,0.5600000000000005,0.5800000000000001
BTR,O=C(N(CCCCCC)C(S/1)=S)C1=C\C2=CC=C(S2)C3=C(CCCCCC)C=C(C4=C(CCCCCC)C=C(C5=CC6=C(C7=CC(CCCCCC)=C(CC(CC)CCCC)S7)C8=C(C=C(C9=CC(CCCCCC)=C(C(S%10)=CC(CCCCCC)=C%10C%11=CC=C(S%11)/C=C%12SC(N(C\%12=O)CCCCCC)=S)S9)S8)C(C%13=CC(CCCCCC)=C(CC(CC)CCCC)S%13)=C6S5)S4)S3,5.34,-3.52,620.0,BO-4Cl,5.66,-4.09,822.0,0.83,18.67,67.0,10.4,1.0,1.8199999999999998,1.5700000000000003,0.3200000000000003,0.5699999999999998
BTR,O=C(N(CCCCCC)C(S/1)=S)C1=C\C2=CC=C(S2)C3=C(CCCCCC)C=C(C4=C(CCCCCC)C=C(C5=CC6=C(C7=CC(CCCCCC)=C(CC(CC)CCCC)S7)C8=C(C=C(C9=CC(CCCCCC)=C(C(S%10)=CC(CCCCCC)=C%10C%11=CC=C(S%11)/C=C%12SC(N(C\%12=O)CCCCCC)=S)S9)S8)C(C%13=CC(CCCCCC)=C(CC(CC)CCCC)S%13)=C6S5)S4)S3,5.34,-3.52,620.0,BO-4Cl,5.66,-4.09,822.0,0.83,18.93,72.0,11.3,1.0,1.8199999999999998,1.5700000000000003,0.3200000000000003,0.5699999999999998
BM-Cl,O=C(N(CCCCC)C(S/1)=S)C1=C\C2=CC(Cl)=C(S2)C3=C(CCCCCC)C=C(C4=C(CCCCCC)C=C(C5=CC6=C(C7=CC(SCC(CCCC)CC)=CC=C7)C8=C(C=C(C9=CC(CCCCCC)=C(C(S%10)=CC(CCCCCC)=C%10C%11=C(Cl)C=C(S%11)/C=C%12SC(N(C\%12=O)CCCCC)=S)S9)S8)C(C%13=CC(SCC(CCCC)CC)=CC=C%13)=C6S5)S4)S3,4.98,-3.06,584.0,BO-4Cl,5.6,-4.16,833.0,0.806,26.23,72.9,15.4,1.0,1.9200000000000004,1.4399999999999995,0.6199999999999992,1.1
BM-ClEH,O=C(N(C(CCCC)CC)C(S/1)=S)C1=C\C2=CC(Cl)=C(S2)C3=C(CCCCCC)C=C(C4=C(CCCCCC)C=C(C5=CC6=C(C7=CC(SCC(CCCC)CC)=CC=C7)C8=C(C=C(C9=CC(CCCCCC)=C(C(S%10)=CC(CCCCCC)=C%10C%11=C(Cl)C=C(S%11)/C=C%12SC(N(C\%12=O)C(CCCC)CC)=S)S9)S8)C(C%13=CC(SCC(CCCC)CC)=CC=C%13)=C6S5)S4)S3,5.06,-3.2,569.0,BO-4Cl,5.57,-4.14,835.0,0.835,22.26,73.6,13.7,1.0,1.8599999999999994,1.4300000000000006,0.5100000000000007,0.9399999999999995
BM-ClEH,O=C(N(C(CCCC)CC)C(S/1)=S)C1=C\C2=CC(Cl)=C(S2)C3=C(CCCCCC)C=C(C4=C(CCCCCC)C=C(C5=CC6=C(C7=CC(SCC(CCCC)CC)=CC=C7)C8=C(C=C(C9=CC(CCCCCC)=C(C(S%10)=CC(CCCCCC)=C%10C%11=C(Cl)C=C(S%11)/C=C%12SC(N(C\%12=O)C(CCCC)CC)=S)S9)S8)C(C%13=CC(SCC(CCCC)CC)=CC=C%13)=C6S5)S4)S3,5.06,-3.2,569.0,BO-4Cl,5.57,-4.14,835.0,0.846,24.38,72.7,15.0,1.0,1.8599999999999994,1.4300000000000006,0.5100000000000007,0.9399999999999995
BDTT-TR,O=C(N(CC)C(S/1)=S)C1=C\C2=CC(CCCCCCCC)=C(S2)C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=CC=C(CC(CCCC)CC)S7)C(SC(C8=CC(CCCCCCCC)=C(C(S9)=CC=C9C%10=C(CCCCCCCC)C=C(S%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)=C%12)=C%12C(C%13=CC=C(CC(CC)CCCC)S%13)=C6S5)S4)S3,5.17,-3.43,708.0,Y6,5.7,-4.08,833.0,0.784,20.56,47.74,7.7,1.0,1.7399999999999998,1.62,0.5300000000000002,0.6499999999999999
BDTT-TR,O=C(N(CC)C(S/1)=S)C1=C\C2=CC(CCCCCCCC)=C(S2)C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=CC=C(CC(CCCC)CC)S7)C(SC(C8=CC(CCCCCCCC)=C(C(S9)=CC=C9C%10=C(CCCCCCCC)C=C(S%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)=C%12)=C%12C(C%13=CC=C(CC(CC)CCCC)S%13)=C6S5)S4)S3,5.17,-3.43,708.0,Y6,5.7,-4.08,833.0,0.793,23.4,54.57,10.12,1.2,1.7399999999999998,1.62,0.5300000000000002,0.6499999999999999
