D_Name;D_SMILES;D_HOMO;D_LUMO;D_lamda_max;Solvent;A_Name;A_HOMO;A_LUMO;A_lamda_max;VOC (V);JSC (mA/cm²);FF (%);PCE (%);Ratio;REFERENCE;Conversion_Status
BTR-Cl;CCCCCCc1cc(-c2cc3c(-c4cc(Cl)c(CC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8\SC(=S)N(CCCCCC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,46;-3,7;573;CF;Y6;-5,7;-4,08;833;0,86;24,17;65,5;13,61;01:01;[1111];✅ OK
BTR-Cl;CCCCCCc1cc(-c2cc3c(-c4cc(Cl)c(CC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8\SC(=S)N(CCCCCC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,46;-3,7;573;CF;BTP-FCl-FCl;-5,7;-3,9;845;0,825;24,58;75,36;15,3;01:01;[1111];✅ OK
BTR;CCCCCCc1cc(-c2c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7\SC(=S)N(CCCCCC)C7=O)s6)s5)s4)sc3c(-c3cc(CCCCCC)c(CC(CC)CCCC)s3)c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7\SC(=S)N(CCCCCC)C7=O)s6)s5)s4)sc23)sc1CC(CC)CCCC;-5,34;-3,51;620;CF;BO-4Cl;-5,69;-3,87;822;0,83;17,91;66;10,4;01:01;[1111];✅ OK
NDTSR;CCCCCCCCc1cc(-c2cc3c(-c4ccc(SCC(CC)CCCC)s4)cc4c(cc(-c5ccc(SCC(CC)CCCC)s5)c5cc(-c6cc(CCCCCCCC)c(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9/SC(=S)N(CC)C9=O)s8)s7)s6)sc54)c3s2)sc1-c1cc(CCCCCCCC)c(-c2ccc(/C=C3/SC(=S)N(CC)C3=O)s2)s1;-5,25;-3,5;530;CF;IDIC;-5,65;-3,97;710;0,92;14,13;61,95;8,05;1:0.6;[1111];✅ OK
ZR2-C1;CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(CCCCCC)C2=O)s1;-5,36;-3,55;566;CF;Y6;-5,7;-4,08;833;0,852;21,35;65,12;11,79;1:0.55;[1111];✅ OK
ZR2-C1;CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(CCCCCC)C2=O)s1;-5,36;-3,55;566;CF;IDIC-4F;-5,66;-4,14;803;0,796;18,15;64,16;9,27;1:0.6;[1111];✅ OK
ZR2-C2;CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CCC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CCC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(CCCCCC)C2=O)s1;-5,35;-3,5;622;CF;Y6;-5,7;-4,08;833;0,852;23,03;65,43;12,84;1:0.55;[1111];✅ OK
ZR2-C2;CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CCC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CCC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(CCCCCC)C2=O)s1;-5,35;-3,5;622;CF;IDIC-4F;-5,66;-4,14;803;0,783;18,27;69,29;9,91;1:0.6;[1111];✅ OK
ZR2-C3;CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CCCC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CCCC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(CCCCCC)C2=O)s1;-5,34;-3,5;625;CF;Y6;-5,7;-4,08;833;0,854;24,69;70,06;14,78;1:0.55;[1111];✅ OK
ZR2-C3;CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CCCC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CCCC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(CCCCCC)C2=O)s1;-5,34;-3,5;625;CF;IDIC-4F;-5,66;-4,14;803;0,776;18,95;70,41;10,35;1:0.6;[1111];✅ OK
